Drishyam 2,Hindi 2D
Black Adam,Eng 2D
Avatar 2,Eng Imax
Avatar 2,Eng 3D
Avatar 2,Eng 2D
Ram Setu,Hindi 2D
Brahmastra: Part 1,Hindi 3D
Brahmastra: Part 1,Hindi Imax
Brahmastra: Part 1,Hindi 2D
RRR,Hindi 3D
RRR,Hindi 2D
Black Panther: Wakanda Forever,Eng 3D
Black Panther: Wakanda Forever,Eng Imax
Black Panther: Wakanda Forever,Eng 2D
The Adam Project,Eng Imax
The Adam Project,Eng 2D
King Richard,Eng 2D
Thank God,Hindi 2D
Bhool Bhulaiya 2,Hindi 2D
Jurrasic World Dominion,Eng 3D
Jurrasic World Dominion,Eng 2D
Jurrasic World Dominion,Eng Imax
Morbius,Eng Imax
Morbius,Eng 2D
Doc Strange: Multiverse Of Madness,Eng 3D
Doc Strange: Multiverse Of Madness,Eng Imax
Doc Strange: Multiverse Of Madness,Eng 2D
Coco,Eng 2D
Coco,Eng 3D
Minions: The Rise Of Gru,Eng 3D
Minions: The Rise Of Gru,Eng 2D
Bhediya,Hindi 3D
Bhediya,Hindi 2D
Runway 34,Hindi 2D
Rocketry: The Nambi Effect,Hindi Imax
Rocketry: The Nambi Effect,Hindi 2D
Top Gun: Maverick,Eng 3D
Top Gun: Maverick,Eng 2D